comment_id,comment,guess
Ugyv8Se940rPKgldR7J4AaABAg.9Mxu5RmFQ4Y9MznulgQiZ5,@SanchiT Dr lu,Comment about a comment
Ugyv8Se940rPKgldR7J4AaABAg.9Mxu5RmFQ4Y9MzkQCmjvj1,@Soyab Khan get gg jyuu r/ihadastroke,Comment about a comment
Ugyv8Se940rPKgldR7J4AaABAg.9Mxu5RmFQ4Y9MzTOEbnAXl,U up I'll oh v,Comment about a comment
Ugyv8Se940rPKgldR7J4AaABAg.9Mxu5RmFQ4Y9MzTMqPPSol,Hi ihlgk,Comment about a comment
UgzMlo9rftxYvzsdyj14AaABAg,When you realise Sumit video quality is increased 🤭,Comment about video
UgymibT2YhUrSUskPfR4AaABAg,Legends know that sumit used 49 hogs 🤣,Comment about an entity
UgymibT2YhUrSUskPfR4AaABAg.9MxuRaAnlVC9N-8ULmOKND,@zhaxo get lost may you get banned,Comment about a comment
UgymibT2YhUrSUskPfR4AaABAg.9MxuRaAnlVC9MyPXGdBD7B,@zhaxo1001 years ke liye isko report karo,Comment about a comment
UgymibT2YhUrSUskPfR4AaABAg.9MxuRaAnlVC9Mxy5XB6tBk,"@Jaitul patel how many years your mother lives 
Igrone-0years
Subscription-1000years",Comment about a comment
UgymibT2YhUrSUskPfR4AaABAg.9MxuRaAnlVC9Mxy4wZ2Jg0,"@Sworna Gurung how many years your mother lives 
Igrone-0years
Subscription-1000years",Comment about a comment
UgymibT2YhUrSUskPfR4AaABAg.9MxuRaAnlVC9MxxZlT364A,@Sworna Gurung legend bro,Comment about a comment
UgyXvk2FN7L9ZFnzSKV4AaABAg,Fun fact : 😂🤘 sumit's new Dialogue is bohot umda this is the latest version of oh bhaisab 😂😂,Comment about an entity
Ugz6Zn0jZ8iHS9x8YeJ4AaABAg,"Others: we have lots of hogs left
Sumit: abhi hamaare paas 2 darjan hogs bacche hue hai😂😂😂",Comment about an entity
UgypUAZAFIOidJAZMgh4AaABAg,"Sumit: make us understaning his complicated plan 
Also sumit : ye hmara simple se plan hai 🤣",Comment about an entity
UgypUAZAFIOidJAZMgh4AaABAg.9My0g60Oir39My2Z7ZVW85,https://youtu.be/7NhxnUZtXHA,Comment about a comment
UgwkUO3jqif75523hPV4AaABAg,5:55 anyone noticed that miner the way he is running😂😂,Comment about an entity
UgzvtvP4AlHP4xji7vx4AaABAg,Sumit kept telugu comedy video at start😂😂,Comment about video
UgzvtvP4AlHP4xji7vx4AaABAg.9Mxuk7eZKGY9MzC46DbxrD,😂😂😂,Comment about a comment
UgzvtvP4AlHP4xji7vx4AaABAg.9Mxuk7eZKGY9My8AjXjek8,Yep,Comment about a comment
UgzvtvP4AlHP4xji7vx4AaABAg.9Mxuk7eZKGY9My7vQLNZRf,Yup,Comment about a comment
UgyUOhHf5H5QPqoo5E14AaABAg,"12:01 RC Took both dragons 🐉 
Otherwise RIP TO ALL HOGS 😂😂",Comment about an entity
UgwMnA88TkYM3LMTWn94AaABAg,Intro always op 😂🔥,Comment about video
UgwdW_XPkBwwiDq1E_F4AaABAg,"Sumit:- Attacking like a pro with his hogs !!!!
Luv u Sumit bro❤️",Comment about an entity
